Gyrus,vol,percent_vol
 Amygdala,74045.6,0.4958354
 Basal Ganglia,477673.66,3.1986709
 Cingulate Gyrus,601931.2,4.030743
 Fusiform Gyrus,571162.4,3.8247044
 Hippocampus,219628.0,1.4707065
 Inferior Frontal Gyrus,487658.38,3.265532
 Inferior Parietal Lobule,1403193.6,9.396278
 Inferior Temporal Gyrus,617337.56,4.1339097
 Insular Gyrus,331571.0,2.2203162
 MedioVentral Occipital Cortex,792704.0,5.308225
 Middle Frontal Gyrus ,1286332.9,8.613738
 Middle Temporal Gyrus,677844.0,4.539082
 Orbital Gyrus,895340.9,5.9955177
 Paracentral Lobule,228872.8,1.5326128
 Parahippocampal Gyrus,209201.6,1.4008875
 Postcentral Gyrus,569169.56,3.81136
 Precentral Gyrus,781237.56,5.231442
 Precuneus,637039.25,4.265839
 Superior Frontal Gyrus  ,1245743.2,8.341935
 Superior Parietal Lobule,543140.7,3.6370614
 Superior Temporal Gyrus,818169.56,5.478751
 Thalamus,338410.4,2.2661152
 lateral Occipital Cortex,986797.7,6.6079445
 posterior Superior Temporal Sulcus ,139299.2,0.9327965
